donor_name,sector,region,funding_size,eligibility,description
Green Climate Fund,climate,Global,"10000000-250000000","Accredited entities, national designated authorities","Finances climate change adaptation and mitigation projects in developing countries. Supports transformational paradigm shift towards low-emission and climate-resilient development."
Global Fund,health,Global,"5000000-50000000","Government health ministries, civil society, private sector","Invests in programs to fight AIDS, tuberculosis and malaria. Supports health systems strengthening and community health worker programs."
USAID Development Innovation Ventures,multiple,Global,"100000-15000000","NGOs, social enterprises, research institutions","Tiered evidence-based funding model. Stage 1 (proof of concept), Stage 2 (testing/positioning), Stage 3 (scaling). Open to innovations across sectors."
EU Horizon Europe,multiple,Europe & Global,"500000-5000000","Research institutions, universities, NGOs, SMEs","Funds research and innovation projects aligned with EU priorities. Includes global challenges pillar covering health, digital, climate, food, and security."
Asian Development Bank Technical Assistance,multiple,Asia-Pacific,"200000-3000000","Government agencies, NGOs, consulting firms","Technical assistance grants for project preparation, capacity building, policy reform, and knowledge generation in ADB developing member countries."
DFID/FCDO Climate & Environment,climate,Sub-Saharan Africa,"1000000-20000000","INGOs, research institutions, government partners","Supports climate adaptation, clean energy access, and environmental conservation in priority countries across Africa and South Asia."
World Bank GPSA,governance,Global,"500000-1000000","Civil society organizations","Global Partnership for Social Accountability. Funds civil society engagement in governance, transparency, and service delivery monitoring."
SIDA Development Cooperation,multiple,Global,"500000-10000000","Swedish and international NGOs, multilateral organizations","Sweden's development cooperation funding covering democracy, gender equality, environment, and economic development."
Bill & Melinda Gates Foundation,health,Sub-Saharan Africa & South Asia,"1000000-50000000","Research institutions, NGOs, government partnerships","Focuses on global health, agricultural development, and financial inclusion. Emphasis on evidence-based interventions at scale."
UNICEF Innovation Fund,education,Global,"50000-100000","Early-stage startups and organizations","Funds open-source technology solutions for children. Focuses on data science, AI, blockchain, and extended reality applications."
African Development Bank AWF,climate,Sub-Saharan Africa,"1000000-5000000","Government agencies, river basin organizations, NGOs","African Water Facility. Finances water resources management, sanitation infrastructure, and water governance improvements."
GIZ Strategic Partnerships,multiple,Global,"200000-2000000","German and international development organizations","Deutsche Gesellschaft für Internationale Zusammenarbeit partnerships for sustainable development across governance, climate, and economic sectors."
UNDP Accelerator Labs,multiple,Global,"50000-500000","National governments, local organizations, innovators","Supports grassroots innovation and experimentation for achieving Sustainable Development Goals through local solutions."
Global Partnership for Education,education,Global,"5000000-100000000","Developing country governments through coordination with donors","Funds education sector plans in developing countries. Focuses on equity, learning outcomes, and education system strengthening."
European Investment Bank,climate,Global,"10000000-500000000","Government entities, development banks, private sector","Climate action and environmental sustainability lending. Supports renewable energy, sustainable transport, and climate adaptation infrastructure."
Ford Foundation,governance,Global,"200000-2000000","NGOs, research institutions, social justice organizations","Focuses on inequality reduction through civic engagement, governance reform, gender justice, and economic fairness."
